id	region	city	name	stored_w	current_override	override_file	new_w	verified	note
1	GA	Acworth	Carlos Machado Jiu-Jitsu North Atlanta	http://www.cmjjnatl.com/		w2	https://acworthjiujitsu.com/	PASS_WITH_CAVEAT	Branded Campeao United Jiu-Jitsu and never states the Machado name, but street address 3335 Cobb Pkwy Acworth and phone 404-829-8353 both match the old CMJJ North Atlanta listing exactly; the old cmjjnatl.com now returns an empty body.
2	GA	Acworth	James Shook Brazilian Jiu-Jitsu	http://zenith.jamesshookbjj.com/		w1	https://tier1jiujitsu.com/	PASS_WITH_CAVEAT	Rebranded Tier 1 Jiu-Jitsu, owner black belt James Shook named on the page and phone (678) 983-8089 matches, but the school has moved from Acworth to 10175 Dallas Acworth Hwy, Dallas GA.
3	GA	Albany	Hamby Freestyle Jiu Jitsu	http://www.hambyfreestyle.com/		w2	https://lavianobjj.com/	PASS	"Laviano Jiu Jitsu at 2231 Dawson Rd STE K Albany GA, 229-256-4404, full BJJ programme; a retained testimonial still reads ""trying Hamby out"", confirming the rename."
8	GA	Braselton	Iron Wolf Academy			NEW	https://www.ironwolfacademy.org/	PASS	Own site, 1247 Tuscany Dr Suite D Braselton GA 30517, phone 770-940-4680, Brazilian Jiu Jitsu listed as a named programme.
12	GA	Eastman	Tect Center			NEW	https://middlegamartialarts.com/	PASS	TECT Center (DBA Middle GA Martial Arts), phone 478-231-6352, adult and kids Brazilian Jiu-Jitsu classes, explicitly serving Eastman.
13	GA	Flowery Branch	Full Throttle Fitness	http://www.fullthrottleoakwood.com/		w2	https://fullthrottlemma.com/contact/	PASS_WITH_CAVEAT	Contact page gives 678-896-7846, matching the Flowery Branch listing, but the address is now 843 Main Street Gainesville GA; BJJ/Judo is a named class on the schedule.
15	GA	Gainesville	Gracie Barra Gainesville	https://www.gbgainesville.com/		w2	https://graciebarra.com/gainesville-ga/	PASS	Subpage exists and is location-specific: 2197 Dawsonville Hwy Suite B, Gainesville GA 30506, 678-943-8228, own hours and full GB class list.
20	GA	Lawrenceville	Gwinnett Training Academy	http://www.gwinnetttrainingacademy.com/		w2	https://attofgwinnett.com/	PASS	Own site, 3315 Sugarloaf Pkwy Lawrenceville GA 30044, 470-545-4732, dedicated Brazilian Jiu Jitsu programme page.
26	GA	Smyrna	Atlanta Budokan	http://www.atlantabudokan.com/		w2	https://gamasd.com/	PASS_WITH_CAVEAT	Phone 678-574-7879 matches Atlanta Budokan exactly and atlantabudokan.com is now DNS-REFUSED, but the school now trades as Georgia Martial Arts and Self Defense at 3485 Acworth Due West Rd, Acworth, not Smyrna.
30	GA	Villa Rica	Independent MMA & Fitness - Villa Rica	https://www.independentvillarica.com/		w2	https://villarica.independentmmafitness.com/	PASS	Location-specific site with phone (678) 952-4055 and email villarica@independentmmafitness.com; Gi and No-Gi Brazilian Jiu-Jitsu are named classes.
