verdict	region	name_final	city_final	state_final	website_final	address_final	source_url	note
CORRECTED	BC	Burridge Martial Arts and Fitness	Abbotsford	BC	https://maxburridge.com	2631 Gladys Avenue, Abbotsford, BC V2S 3X6	https://maxburridge.com/	NAME changed (was "Burridge Martial Arts"): body H1 "Welcome to Burridge Martial Arts and Fitness", logo alt and footer copyright both read "Burridge Martial Arts and Fitness". ADDRESS added (was blank): footer contact block "2631 Gladys Avenue, Abbotsford, BC V2S 3X6, CA", phone 6048532759, on the corner of George Ferguson Way. Programs block lists Brazilian Jiu-Jitsu (BJJ) as a standing program alongside Muay Thai and kids. Live Gymdesk schedule and signup; 604 area code and V2S postal confirm BC.
CONFIRMED	BC	Gracie Barra North Burnaby	Burnaby	BC	https://www.gbnorthburnaby.com	4029 Hastings Street, Burnaby, BC V5C 2J1	https://www.gbnorthburnaby.com/	Body Address block: "4029 Hastings Street, Burnaby, BC V5C-2J1", +1 (236) 978-5728. Programs are all Brazilian jiu-jitsu (adults, GBF women, kids/teens, after-school, family). Page modified 2026-08-10, copyright 2026. WEBSITE: input non-www redirects to www and canonical tag is https://www.gbnorthburnaby.com/ - recorded in www form; no other change.
CORRECTED	BC	Gracie Barra Chilliwack	Chilliwack	BC	https://gbchilliwack.com	45945 Wellington Ave, Chilliwack, BC V2P 2C6	https://gbchilliwack.com/	ADDRESS added (was blank): body contact block "GRACIE BARRA CHILLIWACK 45945 Wellington Ave, Chilliwack. TEL: (604) 363-6764" and the embedded map query reads "45945 Wellington Ave, Chilliwack, BC V2P 2C6". Body sells Brazilian Jiu Jitsu (kids/teens, adults, women only) plus BarraFit. 604 area code and V2P postal confirm BC. Site content dates to 2022 but contact details and Instagram are live.
CONFIRMED	BC	Cranbrook Brazilian Jiu-Jitsu	Cranbrook	BC	https://cranbrookbjj.com	22 8th Ave S, Cranbrook, BC	https://cranbrookbjj.com/	Body: "The Brazilian Jiu-Jitsu program in Cranbrook, B.C. has been an affiliate club of Champions Creed Martial Arts since 2004", head instructor Brian Hamm, BJJ black belt under Brian Bird. Contact block "Cranbrook BJJ, #22 8th Ave. S., Cranbrook, BC, (250) 489-0960". Still open: embedded Facebook feed shows posts 2 weeks and 1 month old. Body uses both "Cranbrook BJJ" and "Cranbrook Brazilian Jiu-Jitsu" (Facebook page name) so the stored name is kept.
CORRECTED	BC	Valley Jiu-Jitsu	Kamloops	BC	https://www.valleybjj.ca	#201 - 982 Camosun Crescent, Kamloops, BC	https://www.valleybjj.ca/location	WEBSITE added (was blank): valleybjj.ca, found via search then read directly. ADDRESS refined (was "982 Camosun Crescent, Kamloops, BC"): Location page body reads "Kamloops, #201 - 982 Camosun Crescent, Kamloops BC", email valleybjjkamloops@outlook.com, (250) 572-3688. Home page body: "Valley Jiu-Jitsu is a proud member of Pacific Top Team... a grassroots Brazilian Jiu-Jitsu team formed by BJJ black belts from British Columbia." 250 area code confirms BC.
CORRECTED	BC	Gracie Barra Maple Ridge	Maple Ridge	BC	https://gbmapleridge.com	22720 Dewdney Trunk Rd, Maple Ridge, BC V2X 8S5	https://gbmapleridge.com/	WEBSITE added (was blank) and ADDRESS added (was blank). Body footer: "Gracie Barra Maple Ridge, (672) 968-4400, 22720 Dewdney Trunk Rd., Maple Ridge", copyright "MAPLE RIDGE JIU-JITSU LTD."; meta and map embed give 22720 Dewdney Trunk Rd, Maple Ridge, BC V2X 8S5. Programs: adults, teens and kids, no-gi, kickboxing, yoga. 2026 class-schedule image and page modified 2026-06-17; 672 area code confirms BC.
UNVERIFIED	BC	Deep Cove BJJ	North Vancouver	BC			https://www.westcoastbjj.ca/	NO PRIMARY BODY READ - no website exists for this name. The only source is the West Coast Brazilian Jiu-Jitsu Association affiliate list on westcoastbjj.ca, whose body does read "Deep Cove BJJ, North Vancouver." but whose footer is copyright 2014 and whose list is demonstrably stale (it still lists Intrepid MMA Salmon Arm under Rick Dubois, who sold in 2024). Two separate searches for a Deep Cove club returned nothing: North Vancouver's operating BJJ schools are Definitive BJJ (definitivebjj.ca) and North Vancouver Gracie Jiu-Jitsu (northvanbjj.com), neither of which is in Deep Cove. Recommend deletion unless a human can confirm.
UNVERIFIED	BC	Powell River Brazilian Jiu Jitsu	Powell River	BC		7053 Glacier St, Powell River, BC V8A 5J7	https://find-open.ca/powell-river/powell-river-brazilian-jiu-jitsu-433143	NO PRIMARY BODY READ - the club has no website and its Facebook page returns an empty body (login wall). Address 7053 Glacier St, Powell River, BC V8A 5J7 and phone (604) 414-4027 appear consistently across several business directories (FindOpen, Nicelocal, Cylex, canada-advisor, yably), but those are all scraper directories that likely share one upstream Google Places record, so they are NOT independent sources. Address is provided for a human to confirm; province plausible (V8A postal, 604 area code). Do not treat as verified.
CORRECTED	BC	Apex Martial Arts	Richmond	BC	http://www.apexma.ca	#140 - 13571 Verdun Place, Richmond, BC V6V 1W5	http://www.apexma.ca/contact-us.html	ADDRESS added (was blank) and WEBSITE scheme changed (was https://www.apexma.ca). https://www.apexma.ca and https://apexma.ca/contact both returned an EMPTY BODY on two attempts; the http host serves the real Weebly site. Programs page body lists KIDS BRAZILIAN JIU JITSU, ADULT BRAZILIAN JIU JITSU and ADULT KICKBOXING. Contact page: "Location: #140-13571 Verdun Place, Richmond, BC V6V 1W5, Canada", (604) 227-2756. V6V postal and 604 area code confirm Richmond BC, not Richmond VA/TX/KY.
CORRECTED	BC	Salmon Arm Jiu-Jitsu	Salmon Arm	BC	https://salmonarmjiujitsu.ca	371 7th St SW, Salmon Arm, BC V1E 1S9	https://salmonarmjiujitsu.ca/about.html	NAME changed (was "Intrepid MMA"), WEBSITE and ADDRESS added (both blank). Intrepid MMA under Rick Dubois no longer trades; the operating grappling school in Salmon Arm is Salmon Arm Jiu-Jitsu, whose own body was read: coaches Shaun Steiner and Jessi Steiner (14 and 16 years in grappling and MMA), "371 7th St SW, Salmon Arm, BC V1E 1S9", (250) 463-3131, current Fall season Sep 7 - Dec 31 registration open. Continuity with Intrepid (reopened by the Steiners April 2024) comes from press/secondary sources, not from the school's own body - if the directory prefers, treat this as a replacement record rather than a rename. V1E postal and 250 area code confirm BC.
