# ON-verify-03 - 23 Ontario candidates needing a body read
city	name	url	address	status	bodyread
Kitchener	Octa BJJ Kitchener	octabjjkitchener.com		NETNEW	N
Kitchener	Return of the Dragon	rotdma.com		NETNEW	N
Kitchener	Olympus Martial Arts	olympusmma.com	50 Ottawa St S 201	NETNEW	N
Cambridge	Grand River BJJ	grandriverbjj.ca		NETNEW	N
Cambridge	Octa BJJ Cambridge	cambridge.octabjj.com		NETNEW	N
Cambridge	Resolve BJJ Academy	resolvebjjacademy.com		NETNEW	N
Cambridge	MAS Academy of Martial Arts		695 Bishop St N	NETNEW	N
Guelph	Royal City BJJ	royalcitybjj.com	20 Cowan Pl Unit 3	NETNEW	N
Guelph	Omerta BJJ	omertabjj.com		NETNEW	N
Sarnia	The Butcher Shop	butchershopjiujitsu.ca		NETNEW	N
Sarnia	Forge Training Centre	forgetrainingcentre.com	1880 London Line	NETNEW	N
Sarnia	META Training Centre	metatrainingcentre.com		NETNEW	N
Windsor	Caique Jiu-Jitsu Academy Windsor Essex	cjjwe.com		NETNEW	N
Windsor	APEX MMA	apexmma.ca		NETNEW	N
Windsor	META BJJ Windsor	metabjj.ca		NETNEW	N
Windsor	Maximum Training Centre	mtcwindsor.ca		NETNEW	N
Ajax	Karma Jiu Jitsu	karmajiujitsu.com		NETNEW	N
Ajax	Mamute Martial Arts	mamutemaa.com	527 Westney Rd S Unit 4	NETNEW	N
Ajax	Elemental Jiu Jitsu	elementaljiujitsu.com	845 Westney Rd S Unit 4	NETNEW	N
Ajax	Moyo Jiu-Jitsu Academy	moyojiujitsu.com	55 Mills Rd Unit 6	NETNEW	N
Whitby	DNA Brazilian Jiu Jitsu	dnabjj.com	2001 Thickson Rd S Unit 15	NETNEW	N
Bowmanville	Kalsamrit Martial Arts	kalsamrit.com	182 Wellington St	NETNEW	N
Barrie	Submission Arts Academy	submissionartsacademy.com	112 Commerce Park Dr	NETNEW	N
