region	name	verdict	removed_url	what_it_served
NV	Zai Martial Arts Academy	DEAD	http://www.zaixma.com	page states the academy is closed
NJ	Cutting Edge Brazilian Jiu Jitsu	HIJACK	http://cuttingedgebjj.com	"redirects to Indonesian gambling/slots site ""Arta189"" via fortworthrvshow.com"
NV	Ryoku Judo Club	HIJACK	http://www.ryokujudo.com	"re-registered as ""Remipoker"" Indonesian slots/poker gambling site"
NY	LifeStyle Brazilian Jiu Jitsu Academy	HIJACK	http://lifestyle-mma.com	redirects to DAX69 Indonesian slot-gambling site
NY	JAO Martial Arts Academy/Caio Terra Brazilian Jiu Jitsu NY	HIJACK	http://www.jao-maa.com	"Chinese ""AG"" gambling-branded SEO site"
NJ	Team Oliveira Brazilian Jiu Jitsu	PARKED	http://www.teamoliveirabjj.com/	HugeDomains domain-for-sale lander
NJ	Lentz Mixed Martial Arts and Boxing	PARKED	http://www.lentzmma.com/	HugeDomains domain-for-sale lander
NJ	Checkmates Boxing and MMA Striking Skills	PARKED	http://www.checkmates-boxing.com/	ExpiredDomains.com domain-for-sale listing
NJ	Girl Fight Martial Arts Center	PARKED	http://www.thegirlfight.com/	Namecheap parked-domain page
OH	Edge Fitness Studio	PARKED	http://www.theedgefit.com/	"HugeDomains ""domain for sale"" lander"
NV	Mix-It-Up Kickboxing & Brazilian Jiu-Jitsu	WRONG_BUSINESS	http://www.mixitupacademy.com	Spanish language school in Gran Canaria, Spain
NV	Komainu Gym	WRONG_BUSINESS	http://www.komainuapparel.com	martial arts apparel retailer, not a gym
OH	The Dirty Gym	WRONG_BUSINESS	http://thedirtygym.com/	barbell/powerlifting club; no martial arts program on the site
OH	Combat CFMA - Functional Martial Arts	WRONG_BUSINESS	http://combatcfma.com/	school now located in Babcock Ranch, Florida; no Medina OH location
OH	Ground Up Brazilian Jiu-Jitsu	WRONG_BUSINESS	http://mpcle.com/class/ground-up-bjj/	Miracle Performance strength/conditioning gym; BJJ class page gone
