# ON-verify-02 verdicts
city	name_confirmed	url	address	verdict	note
Hamilton	Hamilton BJJ	hamilton-bjj.com	166 Green Mountain Rd E, Stoney Creek, ON L8J 3A4	CONFIRMED	dupcheck: probably same as hamiltonbjj.com
Hamilton	PURA BJJ	purabjj.ca		EMPTY	js shell, no body; dns resolves ok
Hamilton	The Grappling Garden	grapplinggarden.ca	100 Frid St. Unit #15, Hamilton, ON	CONFIRMED	bjj gym, kids+adult programs
Hamilton	Joslin's MMA	joslinsmma.com	436 Concession St, Hamilton, ON L9A 1C2	CONFIRMED	mma school with dedicated bjj program
Hamilton	Hamilton School of Martial Arts	hsma1.com	1085 Barton Street East, Hamilton, ON L8L 3E2	CONFIRMED	multi-discipline, has bjj & grappling classes
St. Catharines	Renzo Gracie Niagara	renzogracieniagara.com	486 Grantham Ave, St Catharines, ON	CONFIRMED	matches input address
St. Catharines	SBG Niagara	sbgniagara.ca	11 Seapark Drive, St. Catharines, ON L2M 6S5	CONFIRMED	straight blast gym, bjj + kickboxing
Niagara Falls	Passador BJJ	passadorbjj.com	4536 Portage Road, Niagara Falls, ON L2E 6A8	CONFIRMED	team brasa niagara affiliate
Niagara Falls	Evolve MMA & Fitness	evolvemma.ca	325 Welland Ave, St Catharines, ON L2R 2R2	CONFIRMED	actually in st catharines, not niagara falls
Ottawa	Ottawa Academy of Martial Arts	oama.ca	1810 Carling Ave, Ottawa, ON K2A 1E2	CONFIRMED	bjj, muay thai, mma programs
Ottawa	Gracie Barra Ottawa	gb-ottawa.com	250 Avenue City Centre, Ottawa, ON K1R 6K7	CONFIRMED	matches input, gb affiliate
Ottawa	The Ottawa Jiu Jitsu Club	theottawajiujitsuclub.com	1484 Scott St, Ottawa, ON K1Y 2N4	CONFIRMED	dupcheck flag, no dupe found in this batch
Ottawa	Zen MMA	zenmma.ca	32 Colonnade Rd N #1000, Ottawa (Nepean), ON K2E 7J6	CONFIRMED	carlson gracie bjj affiliate
Ottawa	Silver 7 Martial Arts	silver7martialarts.com	737 Silver Seven Rd, Kanata, ON K2V 1C3	CONFIRMED	marcelo garcia bjj affiliate; 2nd location barrhaven
Ottawa	Jiujitsu Culture	jiujitsuculture.ca	2-397b Richmond Road, Ottawa, ON K2A 0E9	CONFIRMED	westboro ottawa bjj academy
Ottawa	De la Costa Academy	delacosta.ca		EMPTY	js-required redirect, no body; dns resolves
Ottawa	Brave Martial Arts Institute	bravemai.com	2161 Thurston Dr, Ottawa, ON K1G 6C9	CONFIRMED	has dedicated bjj program
London	The Submission Academy	subacademyldn.com	1068 Dundas St., London, ON N5W 3A6	CONFIRMED	matches input address
London	Bindner Academy	bindner.academy	19-1615 North Routledge Park, London, ON	CONFIRMED	address from title tag only, not body text
London	Enhanced BJJ	enhancedbjj.com		EMPTY	js shell; meta confirms bjj school london on
London	Gracie Barra London	graciebarra.com	1712 Hyde Park Rd #104, London, ON N6H 5L7	CONFIRMED	aggregator only; site locator is js-rendered
Waterloo	The Jiu-Jitsu Lab	labjiujitsu.com	420 Weber St N, Waterloo, ON	CONFIRMED	matches input address
Kitchener	Guardhouse BJJ	guardhousebjj.ca	41 Ardelt Place #1b, Kitchener, ON N2C 2C8	CONFIRMED	matches input address
