# ON-verify-01 - 23 Ontario candidates needing a body read
city	name	url	address	status	bodyread
Toronto	Gracie Barra North York Toronto	graciebarra.com	100 Bridgeland Ave	NETNEW	N
Toronto	Gracie Barra Toronto East	graciebarra.com	68 Railside Rd	NETNEW	N
Etobicoke	Etobicoke BJJ	etobicoke-bjj.com		NETNEW	N
Scarborough	Top Team Martial Arts and Fitness	torontommateam.com		NETNEW	N
Toronto	JT6 Academy	jt6.ca		NETNEW	N
Markham	88 BJJ	eighteightbjj.com		NETNEW	N
Richmond Hill	Richmond Hill Jiu-Jitsu	rh-bjj.com		NETNEW	N
Richmond Hill	905 Brazilian Jiujitsu	905brazilianjiujitsu.com		NETNEW	N
Vaughan	King Jiu Jitsu Vaughan	kingjiujitsuvaughan.com		NETNEW	N
Vaughan	Vaughan Jiu-Jitsu Academy	vaughanbjj.com		NETNEW	N
Mississauga	B9 Jiu-Jitsu	bjjmississauga.com	966 Dundas St E	NETNEW	N
Mississauga	Current Jiu Jitsu	currentbjj.com		NETNEW	N
Mississauga	New Valor BJJ	newvalorbjj.com		NETNEW	N
Mississauga	Octa BJJ Mississauga	mississauga.octabjj.com		NETNEW	N
Mississauga	Nova Uniao BJJ-MMAC	bjj-mmac.ca		NETNEW	N
Mississauga	AMA Dojo	amadojo.ca		NETNEW	N
Brampton	Brampton Jiu Jitsu	bramptonjiujitsu.com		DUPCHECK	N
Oakville	Octa BJJ Oakville	octabjj.com		NETNEW	N
Burlington	Octa BJJ Burlington	burlington.octabjj.com		NETNEW	N
Oakville	VS Brazilian Jiu-Jitsu	vsbjj.com		NETNEW	N
Burlington	MN Brazilian Jiu Jitsu Academy	mnbjj.ca		NETNEW	N
Oakville	Oakville Brazilian Jiu-Jitsu	oakvillejiujitsu.ca		NETNEW	N
Hamilton	Bora Jiu-Jitsu	borabjj.com	625 Greenhill Ave Unit 7	NETNEW	N
