region	name	verdict	removed_url	what_it_served
CA	Rocknroll Brazilian Jiu Jitsu & Fitness	DEAD	http://www.rocknrollbjj.com	
AZ	Black Flag Jiu-Jitsu Club	HIJACK	http://www.blackflagjiujitsuclub.com/	real BJJ page with injected FXPro forex-broker paid-link SEO article
AZ	Union Combat Academy	HIJACK	http://www.unioncombat.com/	redirects to JDM88 Indonesian online gambling/slots site
CA	Scorpion MMA (Aloisio Silva Associated Academy)	HIJACK	http://scorpion-mma.us/index.html	redirects to thebest100hotels.com auto-generated review/ad content farm
CA	Unlimited MMA	HIJACK	http://unlimitedmma.com/	Indonesian togel/slots gambling SEO farm - SBOBET88/MAXBET nav links, hundreds of outbound spam domains
CA	Hayastan MMA	HIJACK	http://www.gokor.com/	real gym page carrying an injected German pharmacy / erectile-dysfunction paid-link paragraph (diskrete-apotheke24.de)
CA	10th Planet Jiu Jitsu San Francisco	HIJACK	http://10thplanetjiujitsusf.com/	San Francisco party-bus / limousine-rental SEO content farm with scraped BJJ filler text
AZ	Knockout Fitness	PARKED	http://knockoutfitness.com	BrandBucket domain-for-sale lander
AZ	Southwest Judo Academy	PARKED	http://www.southwestjudo.com	HugeDomains for-sale page
AZ	Warrior Tribe	PARKED	http://www.sedonaselfdefense.com/	GoDaddy domain-for-sale lander
CA	SCHOOL Brazilian Jiu-Jitsu Arcadia	PARKED	http://schoolbjjarcadia.com/	redirects to UpLaunch Agency WordPress multisite signup placeholder
CA	Ricardo Barros Brazilian Jiu-Jitsu	PARKED	http://www.rbbjj.com/	Market Muscles host placeholder - Website Unavailable
CA	Fearless Fitness	PARKED	http://www.fearlessfitness.us	GoDaddy Website Builder Launching Soon placeholder
CA	wolfpac combat ju-jitsu	PARKED	http://www.wolfpac.co.nr/	"redirects to ellisvlad.co.nr ""Cool things are coming"" placeholder"
CA	United Mixed Martial Arts	PARKED	http://www.unitedmixedmartialarts.com/	GoDaddy domain-for-sale lander ($500)
CA	Oc Jiu-Jitsu & Mixed Martial Arts	PARKED	http://www.ocjj.com/	GoDaddy domain-for-sale lander ($22,999)
CA	Kajupit MMA & Fitness	PARKED	http://www.freewebs.com/kajupit/	Webs.com host shutdown notice, redirects to VistaPrint/Wix website-builder ad page
