region	name	city	state	website	address	research_evidence
MN	Rio Jitsu	Apple Valley	MN	https://riojitsu.com	6950 146th St W Suite 118, Apple Valley, MN 55124	Body footer contact block reads 6950 146th St W st 118, Apple Valley, MN 55124, US, phone (952)388-1799. Meta description reads Rio Jitsu in Apple Valley, MN offers Brazilian Jiu-Jitsu and Judo classes. GF Team affiliated, instructors Joao Marinho and Vinicius Marinho. ZIP 55124 = Apple Valley MN.
MN	Apex Jiu-Jitsu	Duluth	MN	http://apexjiujitsu.net	228 1/2 N Central Ave, Duluth, MN 55807	Body header and Location block both read Apex Jiu-Jitsu, 228 1/2 N. Central Ave, Duluth, MN 55807, 218-269-2588, entrance on alley side facing SuperOne Foods, with an embedded map pinned to that MN address. Owner Cris Johnson, Pedro Sauer Brazilian Jiu-Jitsu Association black belt. 218 = northern MN. This is Duluth MN, not Duluth GA.
MN	Hamel Jiu Jitsu Club	Hamel	MN	https://www.hameljiujitsu.com	770 Tower Dr, Hamel, MN 55340	Body Get In Touch block reads 770 Tower Dr, Hamel MN, (612) 400-8265, darrin@hameljiujitsu.com. Body reads Join Hamel's premier Brazilian Jiu Jitsu community in the Plymouth MN area and names the Hamel, Medina, and Plymouth community. 180+ active members, gi and no-gi. 612 = MN.
MN	Checkmat S. Minneapolis	Minneapolis	MN		1362 La Salle Ave, Minneapolis, MN 55403	Real and operating, also known as Danger Room 612, head instructor Professor Lemmy, Loring Park. The gym runs no standalone website (Instagram dangerroom612 only), so the street address 1362 La Salle Ave, Minneapolis MN 55403 is directory-corroborated rather than read off an owned page body. ZIP 55403 = downtown Minneapolis. Address flagged for human confirmation.
MN	American MMA	Prior Lake	MN	https://american-mma.com	14869 Hwy 13 S, Prior Lake, MN 55372	attsavage.com redirects to american-mma.com. Body header reads 14869 Hwy 13 S, Prior Lake, MN, 952-457-7743, and the embedded map query reads 14869 HWY 13 S, savage mn 55372. Body reads Mixed Martial Arts, Muay Thai Kickboxing, Brazilian Jiu Jitsu, Serving the Savage/Prior Lake area for over 20 years. 952 = MN.
MN	Start BJJ Minnesota	St. Cloud	MN	https://startbjjminnesota.squarespace.com	3333 W Division Street Suite 220, Saint Cloud, MN 56301	Body Location block reads 3333 W Divison Street, suite 220 Saint Cloud, MN, 56301, contact mnstart.info@gmail.com and (320) 469-0728. Body reads we are a locally owned, small martial arts gym owned by Brock Larson, former UFC, WEC and One FC MMA fighter and a third degree blackbelt with over 20 years of Brazilian Jiu Jitsu experience, located inside Midtown Square mall. 320 = central MN.
MN	Next Level Combat	Woodbury	MN	https://www.nextlevelcombat.com	1890 Wooddale Drive, Suite 600, Woodbury, MN 55125	Body footer reads Location: Next Level Combat, 1890 Wooddale Drive, Suite 600, Woodbury, MN 55125, phone 651-890-9782. Body states Next Level Combat Woodbury opened in July 2010 and Our Jiu Jitsu program is a proud affiliate of 10th Planet Jiu Jitsu under the legendary Eddie Bravo. 651 = east metro MN.
MS	Gracie South Cleveland Jiu Jitsu	Cleveland	MS	https://www.graciesouthcleveland.com	215 S Sharpe Ave, Cleveland, MS 38732	Delta satellite of the Gracie South network. Site graciesouthcleveland.com resolves but rendered blank to the fetcher; address 215 S Sharpe Ave, Cleveland MS 38732 and phone (662) 641-1765 (662 = MS, ZIP 38732 = Cleveland MS) from listings. Offers BJJ, submission wrestling and kickboxing. Address not body-confirmed.
MS	Gracie United Gulfport	Gulfport	MS	https://www.championfactory.com	1331 E. Pass Rd., Gulfport, MS 39507	"Read off the Team Jucao official locations page body under the MISSISSIPPI heading: ""TEAM JUCAO- GRACIE UNITED GULFPORT, 1331 E. Pass Rd., Gulfport, MS 39507, (601) 336-0106, gulfport@gracieunited.com"". 601 = MS."
MS	Gracie Jiu-Jitsu Ocean Springs	Ocean Springs	MS	https://gracieoceansprings.com	2200 Bienville Blvd Suite D, Ocean Springs, MS 39564	"Body reads ""We're located at 2200 Bienville Blvd Suite D"" and footer contact ""2200 Bienville Blvd Suite D, Ocean Springs, MS 39564"", phone 228-918-1508 (228 = MS). Certified Gracie Jiu-Jitsu Training Center; serves Ocean Springs, Biloxi, Gulfport, Gautier and Pascagoula."
MS	Summit Fitness Kickboxing and Jiu Jitsu	Starkville	MS	https://starkvillefitnesskickboxing.com	400 Industrial Park Rd G, Starkville, MS 39759	"Body header and LOCATION section both read ""400 Industrial Park Rd G, Starkville, MS 39759"", phone (662) 694-2299 (662 = MS). Head BJJ instructor Jamie Houston, 1st degree black belt, 10th Planet brown belt, Ciao Tera Association. Adult and kids BJJ five days a week."
NE	FFC Martial Arts Academy	Grand Island	NE		1201 S. Locust Street Unit 2, Grand Island, NE 68801	Listed as FFC School of Mixed Martial Arts on bjjweb Nebraska with Grand Island NE 68801 and phone (308) 293-2499; offers BJJ, No-Gi, MMA and boxing from age 3. Area code 308 confirms western/central NE. No independent school website found - operates via Facebook. Address not read from an own-site body, sourced from listings.
NE	Vicious Cycle Brazilian Jiu Jitsu	North Platte	NE		413 N Dewey St, North Platte, NE 69101	"Facebook page ""Vicious Cycle Brazilian Jiu Jitsu, North Platte NE""; BBB business profile under North Platte NE; Atos / Bulls Jiu-Jitsu Team affiliate under Prof. Marco Almeida, founded 2022, phone (308) 530-2617. ZIP 69101 + area code 308 confirm NE. No own website; address from listings, not an own-site body."
NE	Narrow Path Martial Arts	Omaha	NE	https://npmaomaha.com	18101 R. Plaza #103, Omaha, NE 68135	"Body of the Brazilian Jiu Jitsu page: ""Our Carlos Machado affiliation gives us the knowledge and resources to offer Omaha's highest quality Brazilian Jiu Jitsu training""; Kids/Teen/Adult BJJ programs; header and footer ""18101 R. Plaza #103, Omaha, Nebraska 68135"", (402) 547-3381. ZIP 68135 + 402."
NH	White Mtn. Brazilian Jiu-Jitsu and MMA Club	Ashland	NH	http://www.whitemtbjj.com	13 West Street, Ashland, NH 03217	Body reads Welcome to White Mtn. Brazilian Jiu-Jitsu and Mixed Martial Arts Club located in Ashland, New Hampshire at 13 West Street. Head instructor Craig W. Willey, BJJ 3rd degree black belt, lineage Carlson Gracie Sr. and Julio Foca Fernandez. Ashland NH ZIP 03217.
NH	Upper Valley Brazilian Jiu Jitsu	Enfield	NH	https://www.uppervalleybjj.com		Own body confirms the school: Gracie Brazilian Jiu Jitsu academy in the Upper Valley area, training in Hanover, Lebanon, Enfield or the greater Upper Valley area. Head instructor Serge Severenchuk, Royce Gracie black belt awarded October 2019, IBJJF certified. Filed under Enfield NEW HAMPSHIRE by the Greater Upper Valley business directory. Confirms the Vermont-sweep lead: the academy is NH-side and markets across the Connecticut River, so it is an NH record, not VT. No street address rendered on the site.
NH	Infinity Gracie Brazilian Jiu Jitsu	Lebanon	NH	https://www.gracieuppervalley.com	45 Hanover St. Penthouse STE, Lebanon, NH 03766	Contact page body reads Infinity Gracie Brazilian Jiu-Jitsu, 45 Hanover St. Penthouse STE Lebanon, NH 03766 and CALL: 603-276-0246. Confirms the Vermont-sweep lead exactly. Body markets to Hanover NH plus Norwich VT and White River Junction VT but the academy address is NH. ZIP 03766, 603 area code.
NH	Northeast Jiu-Jitsu Academy	Manchester	NH		323 S Willow St, Manchester, NH 03103	Listed in MatMade Manchester New Hampshire city index at 323 S Willow St with adult and one-on-one BJJ programs. S Willow St is Manchester NH 03103. No own website found; address held to the aggregator listing only.
NH	Piscassic Jiu Jitsu	Newmarket	NH		Newmarket, NH 03857	Listed on the Town of Newmarket New Hampshire official municipal website (newmarketnh.gov) as Piscassic Jiu Jitsu, Newmarket, NH. Piscassic is the local river name. A municipal listing is a strong state anchor. Newmarket NH ZIP 03857. No street address or website published.
NH	Off Your Back BJJ Academy	Salem	NH	https://offyourbackbjj.com	224 North Broadway, Salem, NH 03079	Academy page body reads We are located at 224 north broadway salem nh, inside of salem marketplace, over 1000sqft of mat space. Instructor Michael Green, BJJ black belt. Body names Rockingham County / Salem NH and the NH towns Derry, Windham, Hampstead, Manchester. Salem NH ZIP 03079 - this is Salem NEW HAMPSHIRE, not Salem MA. Contact number 781-307-0104 is a Massachusetts mobile, but the academy address on the page is Salem NH.
SC	Riptide Mixed Martial Arts Academy	Bluffton	SC	https://riptidemma.com	36 Persimmons St., Suite 303, Bluffton, SC 29910	"Contact page body: ""Riptide Mixed Martial Arts, 36 Persimmons St., Suite 303, Bluffton, SC 29910"", (843) 422-6641; page describes jiu jitsu, MMA, Muay Thai and kids classes serving Hilton Head Island, Bluffton, Beaufort and Ridgeland, with an RCJ Machado Association banner."
