# b2-verify-UT01.tsv - 24 Utah candidates needing a body read
state	city	name	url	address	note
UT	West Jordan	Gracie Barra West Jordan	gbwestjordan.com	8018 Welby Park Dr #2	gbutah.com locations page
UT	Riverton	Gracie Barra Riverton	gbriverton.com	2936 W 12600 S Ste 1 and 2	gbutah.com locations page
UT	Herriman	Gracie Barra Herriman	gbherriman.com	5746 W 13400 S	gbutah.com locations page
UT	Layton	Gracie Barra Layton	gblayton.com	70 S Fairfield Rd Ste 4	gbutah.com locations page
UT	Sandy	Gracie Barra Sandy	graciebarra.com/sandy-ut	8912 S 700 E	gbutah.com locations page
UT	Orem	Gracie Barra Orem	gborem-utah.com	64 State St	gbutah.com locations page
UT	Park City	Gracie Barra Park City	gbparkcity.com	8178 Gorgoza Pines Rd Ste G	gbutah.com locations page
UT	North Salt Lake	Gracie Barra North Salt Lake	gbnorthsaltlake.com	76 S Orchard Dr	gbutah.com locations page
UT	Heber City	Gracie Barra Heber City	graciebarraheber.com	2237 S 390 W	gbutah.com locations page
UT	Salt Lake City	Renzo Gracie SLC	renzogracieslc.com	615 Simpson Ave
UT	Salt Lake City	10th Planet Jiu-Jitsu SLC	10thplanetslc.com	215 S 1000 E
UT	Salt Lake City	Marangoni BJJ	bjjsaltlake.com	480 E 6th Ave
UT	Salt Lake City	Fusion Academy	fusionbjj.com	Simpson Ave	Pedro Sauer; address incomplete
UT	Millcreek	First BJJ Carlson Gracie	firstbjj.com	5508 Van Winkle
UT	Holladay	Ultimate Combat Training Center	ultimatecombat.com	1939 E Murray Holladay Rd	Caio Terra
UT	South Jordan	Unified BJJ	unifiedbjj.com	1098 W South Jordan Pkwy #107-108	Pedro Sauer
UT	Herriman	Adapt Jiu-Jitsu	adaptbjj.com		no street address found
UT	Bluffdale	Crown BJJ	crownbjj.com	14719 S 855 W
UT	Bountiful	Viotti BJJ Academy	viottibjjacademy.com	545 W 500 S #130	allianceslc.com redirects here
UT	Tooele	Tooele Martial Arts Academy	tooelemartialartsacademy.com	10 S Garnet St Bldg 669 #4
UT	Kaysville	Renzo Gracie Utah	renzogracieutah.com	860 W 300 N
UT	Clearfield	Caique Jiu Jitsu Utah Academy	cjjutah.com	1060 W 300 N Ste C
UT	Riverdale	Thiago Alves BJJ	thiagoalvesbjj.com	4042 Pacific Ave	Team Link
UT	American Fork	Paul Tom's Academy of BJJ	bjjutah.com	920 E State St
