result	id	name	proposed_url	dns_status	better_url	note
PASS_WITH_CAVEAT	1	Carlos Machado Jiu-Jitsu North Atlanta	https://acworthjiujitsu.com/	0 A=yes		Branded Campeao United Jiu-Jitsu and never states the Machado name, but street address 3335 Cobb Pkwy Acworth and phone 404-829-8353 both match the old CMJJ North Atlanta listing exactly; the old cmjjnatl.com now returns an empty body.
PASS_WITH_CAVEAT	2	James Shook Brazilian Jiu-Jitsu	https://tier1jiujitsu.com/	0 A=yes		Rebranded Tier 1 Jiu-Jitsu, owner black belt James Shook named on the page and phone (678) 983-8089 matches, but the school has moved from Acworth to 10175 Dallas Acworth Hwy, Dallas GA.
PASS	3	Hamby Freestyle Jiu Jitsu	https://lavianobjj.com/	0 A=yes		Laviano Jiu Jitsu at 2231 Dawson Rd STE K Albany GA, 229-256-4404, full BJJ programme; a retained testimonial still reads "trying Hamby out", confirming the rename.
FAIL_BODY	4	Atlanta Kyusho and Jujitsu	https://evolutionxma.com/	0 A=yes		Every path tried (/, /contact, keyword pages) renders only the string "EVX" and a logo image; no address, phone, schedule or class content is present to verify.
PASS	8	Iron Wolf Academy	https://www.ironwolfacademy.org/	0 A=yes		Own site, 1247 Tuscany Dr Suite D Braselton GA 30517, phone 770-940-4680, Brazilian Jiu Jitsu listed as a named programme.
PASS	12	Tect Center	https://middlegamartialarts.com/	0 A=yes		TECT Center (DBA Middle GA Martial Arts), phone 478-231-6352, adult and kids Brazilian Jiu-Jitsu classes, explicitly serving Eastman.
PASS_WITH_CAVEAT	13	Full Throttle Fitness	https://fullthrottlemma.com/	0 A=yes	https://fullthrottlemma.com/contact/	Contact page gives 678-896-7846, matching the Flowery Branch listing, but the address is now 843 Main Street Gainesville GA; BJJ/Judo is a named class on the schedule.
PASS	15	Gracie Barra Gainesville	https://graciebarra.com/gainesville-ga/	0 A=yes		Subpage exists and is location-specific: 2197 Dawsonville Hwy Suite B, Gainesville GA 30506, 678-943-8228, own hours and full GB class list.
PASS	20	Gwinnett Training Academy	https://attofgwinnett.com/	0 A=yes		Own site, 3315 Sugarloaf Pkwy Lawrenceville GA 30044, 470-545-4732, dedicated Brazilian Jiu Jitsu programme page.
PASS_WITH_CAVEAT	26	Atlanta Budokan	https://gamasd.com/	0 A=yes		Phone 678-574-7879 matches Atlanta Budokan exactly and atlantabudokan.com is now DNS-REFUSED, but the school now trades as Georgia Martial Arts and Self Defense at 3485 Acworth Due West Rd, Acworth, not Smyrna.
PASS	30	Independent MMA & Fitness - Villa Rica	https://villarica.independentmmafitness.com/	0 A=yes		Location-specific site with phone (678) 952-4055 and email villarica@independentmmafitness.com; Gi and No-Gi Brazilian Jiu-Jitsu are named classes.
PASS_WITH_CAVEAT	32	Megalodon MMA	https://www.megalodongym.com/	0 A=yes		Megalodon Gym, 1040 Commerce Court Suite 5, Bogart GA 30622, 706-510-5652, Brazilian Jiu-Jitsu named class; address is Bogart in the Athens area rather than Watkinsville.
PASS	35	10th Planet Jiu Jitsu Chicago	https://www.10thplanetchicago.com/	0 A=yes		Passini Grappling / 10th Planet Chicago, 5711 N Milwaukee Ave Chicago IL 60646, 312-857-4493, full no-gi jiu jitsu schedule.
PASS	36	GB Collinsville	https://graciebarra.com/collinsville-il/	0 A=yes		Subpage exists and is location-specific: 2539 Vandalia St, Collinsville IL 62234, 618-213-2422, own hours and Instagram, full GB class list.
PASS_WITH_CAVEAT	39	GB Evanston	https://graciebarra.com/evanston-il/	0 A=yes		Subpage exists with location-specific phone 847-730-4163 and its own opening hours, but the address field gives only "Evanston, IL 60201" with no street.
PASS_WITH_CAVEAT	41	Gracie Jiu-Jitsu Geneva	https://genevamartialarts.com/programs/gracie-combatives/	0 A=yes	https://genevamartialarts.com/	The venue is Kyuki-Do Martial Arts of Geneva at 24 N Bennett St, Geneva IL, (630) 232-4070, but it self-brands as a Certified Gracie Jiu-Jitsu Training Center with a "Gracie Jiu Jitsu Geneva" logo and runs Gracie Combatives BJJ.
PASS_WITH_CAVEAT	43	Comprido BJJ	https://highwood.compridobjj.com/	0 A=yes		Same premises as id 44: 432 Green Bay Rd, (224) 352-0094, which Yelp lists under Highland Park while the site labels it Highwood, so these two records point at one school.
PASS	44	Brasa Jiu-Jitsu Highwood	https://highwood.compridobjj.com/	0 A=yes		Brasa Comprido Brazilian Jiu-Jitsu Highwood, 432 Green Bay Rd Highwood IL 60040, (224) 352-0094, adult and kids BJJ classes.
PASS	46	Norse Academy Martial Arts	https://uniphimma.com/	0 A=yes		Rebranded UniPhi MMA and Fitness at the identical address 1600 N Milwaukee Ave #606 Lake Villa IL 60046 and identical phone 574-386-4371; Gi and No-Gi Jiu Jitsu are named classes.
PASS	47	10th Planet Jiu Jitsu Lombard	https://www.10plombard.com/	0 A=yes		10P Lombard, 1060 N DuPage Ave Lombard IL 60148, tel 773-551-6325, head instructor Omar Ocasio, no-gi jiu jitsu school.
PASS	49	Cassady Martial Arts Academy Royce Gracie Jiu Jitsu	https://roycegraciemacomb.com/	0 A=yes		Royce Gracie Academy of Macomb at 1601 W Jackson 202, Macomb IL 61455, 309-836-2002, run by Andrew and Michelle Cassady with Cassady Martial Arts Academy map and Facebook links.
FAIL_BODY	54	Victory Martial Arts Northbrook	https://www.go4martialarts.com/locations/near-60062/	0 A=yes		Page was last modified in 2018 and reads as an opening announcement; Northbrook appears in neither the site's location nav nor its footer list of eight current schools, and the named instructor is now listed at Arlington Heights, so I cannot confirm the school still trades.
PASS	59	LCCT Brazilian Jiu Jitsu	https://www.lcctbjjusa.com/	0 A=yes	https://www.lcctbjjusa.com/locations	Homepage lists BJJ and No-Gi programmes and phone 773.938.3311; the Locations page gives LCCT BJJ Schaumburg at 1152 S Roselle Road, Schaumburg IL 60193.
PASS	60	P3 Martial Arts	https://p3schaumburg.com/	0 A=yes		P3 Martial Arts Schaumburg, 861 & 909 S Roselle Rd Schaumburg IL 60193, 224-353-6213, Adult BJJ programme plus a weekly Judo class.
PASS_WITH_CAVEAT	61	Ohana Martial Arts	https://ohanama.com/	0 A=yes		Real BJJ academy at 995 Progress Drive Unit 104, Grayslake IL 60030, 224-252-3075, but no page states a Waukegan address; continuity rests only on founder Christopher Lund and the "since 2003" claim.
PASS	66	Gracie Barra Henderson	https://graciebarrahenderson.com/	0 A=yes		Own site, 55 S Gibson Rd #117 Henderson NV 89012, (725) 222-9470, Gi and No-Gi Brazilian Jiu-Jitsu programmes.
PASS_WITH_CAVEAT	73	AE Brazilian Jiu Jitsu	https://aeujj.com/	0 A=yes		AE UNLTD Jiu Jitsu, 115 S Water St, phone 702.329.5123, Cascao-affiliated BJJ with full class list; the address is Henderson NV 89015 rather than Las Vegas proper, though the page states it serves the Las Vegas valley.
PASS	75	Cascao Jiu Jitsu	https://cascaojiujitsu.org/	0 A=yes		Cascao Brazilian Jiu-Jitsu, 3870 E Flamingo Rd Suite A12, Las Vegas NV 89121, (702) 818-7500, Kids/No-Gi/Regular BJJ classes under Walter "Cascao" Vital.
UNVERIFIABLE	77	Fredson Paixao Academy	https://fredsonpaixao.com/	0 A=yes		Page carries 6365 Montessouri St Las Vegas NV 89113 and 702-849-6113, but it was last modified April 2024, carries a 2019 copyright, links out to a dead staging domain, and Yelp marks the location CLOSED as of December 2025; I could not confirm the school is still trading.
PASS	78	Hard Knocks Muay Thai & Judo	https://hardknocksmuaythaijudo.com/	0 A=yes		Own site, 9660 W Tropicana Ave #300 Las Vegas NV 89147, (702) 419-1623, with Judo as a named all-levels class alongside the striking programmes.
PASS_WITH_CAVEAT	82	Ribeiro Jiu-Jitsu - Las Vegas	https://www.ribeirojiujitsulv.com/	0 A=yes		Address 4275 West Bell Drive and phone 702-754-3343 match the Ribeiro Jiu-Jitsu Las Vegas listing, but the About copy says "Daxhino Jiu Jitsu" twice, apparently leftover branding for resident instructor Daxhino Ramos.
