id	region	name	city	proposed_url
1	GA	Carlos Machado Jiu-Jitsu North Atlanta	Acworth	https://acworthjiujitsu.com/
2	GA	James Shook Brazilian Jiu-Jitsu	Acworth	https://tier1jiujitsu.com/
3	GA	Hamby Freestyle Jiu Jitsu	Albany	https://lavianobjj.com/
4	GA	Atlanta Kyusho and Jujitsu	Atlanta	https://evolutionxma.com/
8	GA	Iron Wolf Academy	Braselton	https://www.ironwolfacademy.org/
12	GA	Tect Center	Eastman	https://middlegamartialarts.com/
13	GA	Full Throttle Fitness	Flowery Branch	https://fullthrottlemma.com/
15	GA	Gracie Barra Gainesville	Gainesville	https://graciebarra.com/gainesville-ga/
20	GA	Gwinnett Training Academy	Lawrenceville	https://attofgwinnett.com/
26	GA	Atlanta Budokan	Smyrna	https://gamasd.com/
30	GA	Independent MMA & Fitness - Villa Rica	Villa Rica	https://villarica.independentmmafitness.com/
32	GA	Megalodon MMA	Watkinsville	https://www.megalodongym.com/
35	IL	10th Planet Jiu Jitsu Chicago	Chicago	https://www.10thplanetchicago.com/
36	IL	GB Collinsville	Collinsville	https://graciebarra.com/collinsville-il/
39	IL	GB Evanston	Evanston	https://graciebarra.com/evanston-il/
41	IL	Gracie Jiu-Jitsu Geneva	Geneva	https://genevamartialarts.com/programs/gracie-combatives/
43	IL	Comprido BJJ	Highland Park	https://highwood.compridobjj.com/
44	IL	Brasa Jiu-Jitsu Highwood	Highwood	https://highwood.compridobjj.com/
46	IL	Norse Academy Martial Arts	Lake Villa	https://uniphimma.com/
47	IL	10th Planet Jiu Jitsu Lombard	Lombard	https://www.10plombard.com/
49	IL	Cassady Martial Arts Academy Royce Gracie Jiu Jitsu	Macomb	https://roycegraciemacomb.com/
54	IL	Victory Martial Arts Northbrook	Northbrook	https://www.go4martialarts.com/locations/near-60062/
59	IL	LCCT Brazilian Jiu Jitsu	Schaumburg	https://www.lcctbjjusa.com/
60	IL	P3 Martial Arts	Schaumburg	https://p3schaumburg.com/
61	IL	Ohana Martial Arts	Waukegan	https://ohanama.com/
66	NV	Gracie Barra Henderson	Henderson	https://graciebarrahenderson.com/
73	NV	AE Brazilian Jiu Jitsu	Las Vegas	https://aeujj.com/
75	NV	Cascao Jiu Jitsu	Las Vegas	https://cascaojiujitsu.org/
77	NV	Fredson Paixao Academy	Las Vegas	https://fredsonpaixao.com/
78	NV	Hard Knocks Muay Thai & Judo	Las Vegas	https://hardknocksmuaythaijudo.com/
82	NV	Ribeiro Jiu-Jitsu - Las Vegas	Las Vegas	https://www.ribeirojiujitsulv.com/
84	NV	The Academy of Brazilian Jiu Jitsu	Las Vegas	https://www.tabjj.com/
86	NV	Wand Fight Team	Las Vegas	https://wandfightteam.perfectmind.com/
87	NV	Orient Jiu Jitsu	Paradise	https://orient-jiu-jitsu-llc.gymdesk.com/
