verdict	id	region	name	url	note
EMPTY	2047	AL	10th Planet Jiu-Jitsu Gulf Shores	https://www.facebook.com/KuzushiClubBJJGulfShores/
EMPTY	3738	ON	Toronto Jiu Jitsu Club	https://torontojiujitsuclub.com
OK	2601	FL	Gracie Barra Fort Lauderdale	https://graciebarra.com/fort-lauderdale-fl/
OK	2204	AZ	Patriot Martial Arts Academy	https://www.queencreekmartialarts.com/
OK	2088	AR	Gravitas Martial Arts	https://gravitasmartialarts.com
OK	2185	AZ	Ares BJJ	https://www.aresbjj.com/
OK	3956	TN	Alpha Jiu-Jitsu Academy	https://www.alphajiujitsuacademy.com
OK	2811	ID	Self Reliant Jiu Jitsu	https://www.selfreliantjiujitsu.com
OK	3787	PA	Bloomsburg Martial Arts Academy	https://bloommma.com/
EMPTY	3078	MI	Significant Strikes Boxing, Jiu-Jitsu & MMA	https://significantstrikes.com/appointments
OK	2722	GA	KravHIIT Martial Arts & Fitness Academy	https://kravhiit.us/
OK	2223	AZ	The Eyrie Brazilian Jiu-Jitsu	https://www.eyriebjj.com/
OK	2038	AL	GB Cullman	https://gbcullman.com/
OK	3883	RI	Ocean State Brazilian Jiu Jitsu	https://www.oceanstatebjj.com
OK	3603	NY	Tiger Schulmann's Martial Arts Tottenville (Staten Island) NY	https://tsk.com/locations/ny/staten-island-tottenville
OK	2313	BC	Gracie Barra Kerrisdale	https://gbkerrisdale.com
OK	2954	KY	Elite Martial Arts-Richmond	https://www.elitema.org/
OK	3028	MD	Southern Maryland Martial Arts & Fitness La Plata	https://smmafitness.com
OK	2139	AZ	(Muay Thai Gym) Sitan Gym Arizona LLC	https://sitangymaz.com/
OK	3831	QC	Elite Jiu Jitsu Drummondville	https://www.elitejjd.ca
OK	2599	FL	A & M Jiu-Jitsu	https://aandmbjj.com
OK	2274	BC	North Kootenay Martial Arts	https://northkootenaymartialarts.com
OK	3890	RI	Gracie Jiu-Jitsu Providence	https://graciejiujitsuprovidence.com
OK	2024	AK	Alaska Krav Maga & Fitness (BJJ program)	https://akkravmaga.com/programs/brazilian-jiu-jitsu
OK	2958	KY	Somerset Martial Arts Summer Camp & Afterschool	https://somersetmartialartsky.com/
OK	2066	AL	NXG COMBAT SPORTS	https://nxgcombatsports.com/
OK	4097	TX	VA Academy Jiu Jitsu	https://www.vabjj.com
OK	2439	CA	Redding Ju Jitsu Academy Inc	https://www.ajjf.org/
OK	2654	FL	GB Rockledge	https://graciebarra.com/rockledge-fl/
OK	2704	GA	Wolfhunter Jiu Jitsu Club	https://wolfhunterjjc.com
OK	3729	ON	SBG Niagara	https://sbgniagara.ca
OK	4204	WA	Logic Jiu Jitsu Spanaway	https://logicjiujitsu.club
OK	2479	CA	Brazilian Top Team Long Beach	https://www.bttlongbeach.com/
OK	2382	CA	GB Glendale	https://www.gbglendale.com/
OK	3838	QC	Renzo Gracie Laval	https://www.gracielaval.com
OK	3472	NS	Presley BJJ	https://www.presleybjj.com
OK	3309	NH	Bazzani BJJ	https://bazzanibjj.com
OK	2016	AK	Anchorage Brazilian Jui-Jitsu	https://www.anchoragebjj.com/
OK	2161	AZ	Pinnacle Brazilian Jiu Jitsu	https://pinnaclebjjaz.com/
OK	3126	MN	Higher Ground Brazilian Jiu-Jitsu	https://www.hgbjjmn.com
OK	2244	BC	Disciple BJJ	https://www.disciplebjj.ca
OK	2243	BC	North Burnaby Brazilian Jiu Jitsu	https://www.northburnabyjiujitsu.com
OK	2764	HI	United BJJ Hawaii	https://unitedbjjhawaii.com
OK	2770	IA	Alliance Ames Brazilian JiuJitsu	https://amesbrazilianjiu-jitsu.com
OK	2861	IL	United Elite Mixed Martial Arts and Fitness	https://www.unitedelitemma.com/
OK	3061	MI	10th Planet Jiu Jitsu Grand Rapids	https://www.10thplanetgrandrapids.com/
OK	3734	ON	Thunder Valley Martial Arts	https://thundervalleymartialarts.com
OK	3898	SC	Renzo Gracie South Carolina	https://www.renzograciesc.com
EMPTY	2224	AZ	Daimyo Brazilian Jiujitsu	https://daimyobjj.com
OK	3043	ME	Gracie Gym Maine	https://graciegymmaine.com
OK	3640	OH	Vanyo Martial Arts	https://www.vanyomma.com/
OK	2433	CA	Silva BJJ Parlier CA (Aloisio Silva Affiliated Academy)	https://silvabjj.com/
OK	2233	BC	Genesis Martial Arts	https://www.genesismartialarts.ca
WRONG_BUSINESS	2602	FL	School of Combat Arts	https://schoolofcombatarts.com/	martial arts school in Niceville/Valparaiso FL, not Gainesville
OK	3182	MS	Gracie South Jiu Jitsu Headquarters	https://graciesouth.com
EMPTY	4003	TX	Abdias Brazilian Jiu-Jitsu	https://www.bushidostrength.com
OK	2002	AB	Okotoks BJJ	https://okotoksbjj.com
OK	3621	OH	Dayton Brazilian Jiu Jitsu	https://daytonbrazilianjiujitsu.com/
OK	3108	MN	Southside Brazilian Jiu Jitsu	https://www.southsidebrazilianjiujitsu.com
OK	3411	NL	Alex Foley's Academy of Martial Arts	https://www.alexfoley.ca
OK	3821	PE	JM Brazilian Jiu-Jitsu	https://jmbjj.ca
EMPTY	3208	NB	Victory Jiu-Jitsu Edmundston	https://www.facebook.com/VictoryJJEdmundston
OK	2515	CA	Ground-Up Brazilian Jiu-Jitsu Academy, LLC	https://www.gubjja.com/
OK	3684	ON	Return of the Dragon	https://rotdma.com
OK	3480	NV	Alliance Jiu Jitsu Las Vegas	https://alliancejiujitsulasvegas.com
OK	2667	FL	Elevate Martial Arts South Campus (American Top Team affiliate)	https://elevatemartialartstampa.com/adult-bjj-classes-south-tampa/
EMPTY	4025	TX	GB Fulshear	https://graciebarra.com/fulshear-tx/
OK	1967	AB	JR Academy	https://www.jracademy.co
OK	2063	AL	Renzo Gracie Alabama	https://www.renzograciealabama.com/
OK	3791	PA	Mata Leão Jiu-Jitsu	https://eriebjj.com
OK	2512	CA	Willows Jiu Jitsu & MMA	https://www.willowsjiujitsumma.com/
OK	4037	TX	Blitz Martial Arts	https://blitzmatx.com/
OK	3872	QC	Three Headed Beast	https://www.sherbrookebjj.com
OK	3940	SK	Control Jiu Jitsu	https://controlbjj.com
OK	3289	NE	Legacy BJJ Omaha	https://legacybjjomaha.com
