verdict	id	region	name	url	note
OK	1464	DE	Dauntless BJJ & MMA	fightdrive.com	BJJ and MMA academy, Newark DE
OK	1465	DE	302 BJJ Wilmington	302bjj.com	BJJ academy, two Delaware locations
OK	1466	FL	Carlson Gracie Gainesville	www.carlsongraciegainesville.com	Carlson Gracie BJJ academy, full site
EMPTY	1468	IN	Gracie Jiu-Jitsu Brazil	graciebrazilindiana.com	JavaScript shell, no body content returned
OK	1469	IN	Brownsburg Brazilian Jiu-Jitsu	brownsburgbjj.com	BJJ school, schedule and location
OK	1470	IN	Performex Martial Arts and Fitness	performexmartialarts.com	BJJ, MMA, kickboxing; full schedule
OK	1471	IN	House Of Martial Arts	houseofmartialarts.com	BJJ, MMA, kenpo; Carmel IN
OK	1472	IN	Indianapolis Brazilian Jiu-Jitsu	indianapolisjiujitsu.com	BJJ academy, Carmel IN, full schedule
WRONG_BUSINESS	1473	IN	The School of Self Defense	the-school-of-self-defense.com	Kenpo/kung fu, Noblesville not Carmel
PARKED	1474	IN	Team O'Connor Brazilian Jiu-Jitsu	team-oconnor.com	Sedo parking IP, blank page
EMPTY	1475	IN	Awesome Martial Arts Academy	awesomesportsandcamps.com	JavaScript shell, no body content returned
OK	1477	IN	Alexander Brazilian Jiu Jitsu	alexanderbjj.com	BJJ academy, Elkhart IN
OK	1478	IN	Kroyler Gracie Jiu-Jitsu	kroylergracie.com	BJJ academy, Elkhart, full schedule
OK	1479	IN	The JiuJitsu Academy	thejiujitsuacademy.com	BJJ academy, Bruce Shepherd, schedule
WRONG_BUSINESS	1482	IN	First Shield Defense	firstshielddefense.com	Church security/firearms training, no grappling
OK	1484	IN	Journey Brazilian Jiu-jitsu/Blackbelt Wrestling Academy	journeybjj.com	BJJ, MMA, wrestling; full schedule
OK	1485	IN	Lee Brothers Submission Academy	leebrothersmma.com	Rebranded The Fight Lab; BJJ, Fort Wayne
OK	1487	IN	Franklin Jiu Jitsu Club	franklinbjjclub.com	BJJ club, Franklin IN, full schedule
OK	1488	IN	Barrick Brazilian Jiu Jitsu	barrickbjj.com	BJJ and boxing, Goshen IN
OK	1489	IN	FLOW Brazilian Jiu-Jitsu	flowingwolfbjj.squarespace.com	BJJ academy, Granger IN, schedule
OK	1490	IN	Roll Model Grappling Academy	rollmodelgrapplingacademy.com	BJJ, judo, kickboxing; Greenwood IN
OK	1492	IN	Torres Martial Arts Academy	torresmartialarts.com	BJJ and kickboxing, Hobart IN
DEAD	1493	IN	10th Planet Indianapolis at Circle City Martial Arts & Fitness	ccmaf.com	No A record, DNS NODATA
OK	1494	IN	Champlin Jiu-Jitsu Academy	champlinbjj.com	BJJ academy, Indianapolis, full schedule
OK	1496	IN	SoBro Brazilian Jiu Jitsu	sobrobjj.com	BJJ gym, redirects to sobrojj.com
OK	1497	IN	The Forge Training Center	theforgetc.com	BJJ, judo, Muay Thai; full schedule
OK	1499	IN	Tiger Martial Arts Fitness Academy	tigermartialartsfitness.com	BJJ and taekwondo, Marion IN
OK	1500	IN	Team Colón Mixed Martial Arts	teamcolonmma.com	MMA fight team, Merrillville IN
OK	1501	IN	UFC GYM Merrillville	ufcgym.com	UFC GYM corporate site, BJJ classes
OK	1502	IN	Revolution Fitness Center	joinrevolutionfc.com	Redirects to rfjiujitsu.com, BJJ/MMA schedule
WRONG_BUSINESS	1504	IN	Indiana Combat Grappling	indianama.com	Ryukyu Kempo karate school, no grappling
OK	1505	IN	Muncie Brazilian Jiu-Jitsu	munciebjj.com	BJJ academy, Muncie IN, schedule
OK	1506	IN	Gracie Jiu-Jitsu Nappanee	gjjnappanee.com	Certified Gracie training center, Nappanee
OK	1507	IN	Southern Indiana Martial Arts	southernindianamartialarts.com	BJJ and judo, New Albany IN
OK	1509	IN	Ironhorse Martial Arts	ironhorsemartialarts.com	Taekwondo, judo, jiu-jitsu; Central Indiana
OK	1510	IN	DragonFly Elite Martial Arts & Fitness	dragonflyelite.com	BJJ, Muay Thai, wrestling; Plainfield IN
