verdict	id	region	name	url	note
OK	841	NC	EC Fitness - East Carolina Brazilian Jiu Jitsu	http://www.eastcarolinabjj.com/	
OK	842	NE	Top Tier MMA and Boxing	http://www.toptier.ninja	
OK	843	NH	White Mtn. Brazilian Jiu-Jitsu and MMA Club	http://www.whitemtbjj.com	
OK	844	NH	Bare Knuckle Murphy	http://www.bareknucklemurphy.com	
OK	845	NJ	Modern Fighting Concepts	http://www.mfcmma.com/	
OK	846	NJ	Velez Jiujitsu	http://www.dieseltrainingbjj.com/	
OK	847	NJ	Prolific Brazilian Jiu Jitsu	http://prolificbjj.com/	
OK	848	NJ	Senshi Tori Mixed Martial Arts	http://www.senshitori.com/	
OK	849	NJ	TRA Jiu jitsu	http://www.trajiujitsu.com	
OK	850	NJ	Tong Dragon Mixed Martial Arts	http://www.tongdragon.com/	
OK	851	NJ	Buctown MMA	http://www.buctown.org/	
EMPTY	852	NJ	FastKick Martial Arts	http://www.ifastkick.com	
OK	853	NJ	RUSH Mixed Martial Arts Team Joe Moreira	http://www.rushdefense.com/	
OK	854	NJ	Lobo Mixed Martial Arts	http://www.lobomma.com/	
EMPTY	855	NJ	Girl Fight	http://gfight.com/	
OK	856	NJ	Alex Wilkie's Martial Arts Academy	http://www.alexwilkiemma.com/	
OK	857	NJ	Bones Jiu Jitsu	http://bonesjiujitsu.com	
OK	858	NJ	Carnicella MMA	http://www.carnicellamma.com/	
OK	859	NJ	Immortals Jiu Jitsu	http://www.immortalsjiujitsu.com/	
EMPTY	860	NJ	Unity Jiu Jitsu New Jersey	http://unitybjjnj.com	
OK	861	NJ	Amped Mixed Martial Arts & Fitness	http://ampedmma.com/	
OK	862	NJ	Silver Fox Brazilian Jiu-Jitsu Academy [East Hanover]	http://www.silverfoxbjjeh.com/	
OK	863	NJ	Notorious Mixed Martial Arts	http://www.notoriousbjj.com/	
OK	864	NJ	Satori Academy Brazilian Jiu Jitsu	http://www.satoriacademynj.com/	
OK	865	NJ	MK Muay Thai	http://www.mkmuaythai.com/	
