verdict	id	region	name	url	note
HIJACK	1794	WA	Ring Sports United	ringsportsunited.com	Turkish casino spam blog, Vodkabet
OK	1796	WA	Rock Solid Martial Arts	www.rocksolidmartialarts.com	Bellingham martial arts, BJJ program
EMPTY	1797	WA	Bonney Lake Brazilian Jiu Jitsu Academy (Team Butler)	www.facebook.com/Bonney-Lake-Brazilian-Jiu-Jitsu-Academy-103477605304385	Facebook bot wall, empty body
OK	1798	WA	Bothell Martial Arts Academy	bmaabothell.com	BJJ, Muay Thai, Kempo; Bothell
OK	1799	WA	Evergreen Karate	evergreenkarate.com	Karate and BJJ, Bothell
OK	1800	WA	Bremerton Academy of Martial Arts	www.bremertonmartialarts.org	BJJ, submission grappling, MMA
OK	1802	WA	Shaolin Mixed Martial Arts	www.shaolinmixedmartialarts.com	Submission wrestling and BJJ classes
OK	1803	WA	Universal Jiu Jitsu	www.universaljj.com	Camas BJJ and MMA gym
WRONG_BUSINESS	1804	WA	EchoValor Striking & MMA	www.echovalor.com	Veteran storytelling brand, podcast and merch
OK	1805	WA	SMASH BJJ Deer Park	smashbjjspokane.com	BJJ academy, Deer Park location listed
OK	1806	WA	Gentle Human BJJ	www.gentlehumanbjj.com	BJJ academy, Des Moines WA
OK	1807	WA	Gracie Barra Edmonds	graciebarra.com/edmonds-wa	Gracie Barra Edmonds location page
OK	1809	WA	Ellensburg Jiu Jitsu	ellensburgjiujitsu.com	BJJ gym, schedule and rates
OK	1810	WA	Combat Sport & Fitness	www.combatsportfitness.com	BJJ and MMA gym, Enumclaw
OK	1811	WA	Imperial Jitz - Brazilian Jiu-Jitsu + Fitness	imperialjitz.com	BJJ and fitness academy, Ephrata
HIJACK	1812	WA	Cascade Jiu-Jitsu	everettbjj.com	Injected cialis/viagra pharma spam paragraph
OK	1814	WA	Charlie's Combat Club	www.charliescombatclub.com	MMA, BJJ, kickboxing gym Everett
OK	1816	WA	Redline MMA Academy	redlinemmaacademy.com	MMA and Ralph Gracie BJJ, Everett
OK	1817	WA	Gracie Barra Federal Way	gbfederalway.com	Gracie Barra school site, dated content
OK	1818	WA	GB Tacoma	graciebarra.com/tacoma-wa	Redirects to Gracie Barra Tacoma, Fircrest
OK	1821	WA	NAK2 Academy	www.nak2.com	Gracie Jiu-Jitsu school, Issaquah
OK	1822	WA	Juggernaut Mixed Martial Arts	www.juggernautmma.com	BJJ and Muay Thai gym, Kelso
OK	1824	WA	Foster Brazilian Jiu-Jitsu	www.fbjjonline.com	BJJ academy, Kent WA
HIJACK	1825	WA	Miller's Martial Arts Academy	www.mmaa.com	Injected pharma spam links in testimonials
OK	1826	WA	Alliance BJJ Lacey	alliancebjjwa.com	Alliance BJJ, Lacey and Lakewood
