id	risk	region	city	name	url
1794	scheme-less	WA	Bellevue	Ring Sports United	ringsportsunited.com
1796	scheme-less	WA	Bellingham	Rock Solid Martial Arts	www.rocksolidmartialarts.com
1797	scheme-less	WA	Bonney Lake	Bonney Lake Brazilian Jiu Jitsu Academy (Team Butler)	www.facebook.com/Bonney-Lake-Brazilian-Jiu-Jitsu-Academy-103477605304385
1798	scheme-less	WA	Bothell	Bothell Martial Arts Academy	bmaabothell.com
1799	scheme-less	WA	Bothell	Evergreen Karate	evergreenkarate.com
1800	scheme-less	WA	Bremerton	Bremerton Academy of Martial Arts	www.bremertonmartialarts.org
1802	scheme-less	WA	Bremerton	Shaolin Mixed Martial Arts	www.shaolinmixedmartialarts.com
1803	scheme-less	WA	Camas	Universal Jiu Jitsu	www.universaljj.com
1804	scheme-less	WA	Centralia	EchoValor Striking & MMA	www.echovalor.com
1805	scheme-less	WA	Deer Park	SMASH BJJ Deer Park	smashbjjspokane.com
1806	scheme-less	WA	Des Moines	Gentle Human BJJ	www.gentlehumanbjj.com
1807	scheme-less	WA	Edmonds	Gracie Barra Edmonds	graciebarra.com/edmonds-wa
1809	scheme-less	WA	Ellensburg	Ellensburg Jiu Jitsu	ellensburgjiujitsu.com
1810	scheme-less	WA	Enumclaw	Combat Sport & Fitness	www.combatsportfitness.com
1811	scheme-less	WA	Ephrata	Imperial Jitz - Brazilian Jiu-Jitsu + Fitness	imperialjitz.com
1812	scheme-less	WA	Everett	Cascade Jiu-Jitsu	everettbjj.com
1814	scheme-less	WA	Everett	Charlie's Combat Club	www.charliescombatclub.com
1816	scheme-less	WA	Everett	Redline MMA Academy	redlinemmaacademy.com
1817	scheme-less	WA	Federal Way	Gracie Barra Federal Way	gbfederalway.com
1818	scheme-less	WA	Fircrest	GB Tacoma	graciebarra.com/tacoma-wa
1821	scheme-less	WA	Issaquah	NAK2 Academy	www.nak2.com
1822	scheme-less	WA	Kelso	Juggernaut Mixed Martial Arts	www.juggernautmma.com
1824	scheme-less	WA	Kent	Foster Brazilian Jiu-Jitsu	www.fbjjonline.com
1825	scheme-less	WA	Kirkland	Miller's Martial Arts Academy	www.mmaa.com
1826	scheme-less	WA	Lacey	Alliance BJJ Lacey	alliancebjjwa.com
1827	scheme-less	WA	Lake Stevens	Electric North Jiu Jitsu	www.theelectricnorth.com
1828	scheme-less	WA	Lake Stevens	North Sound Brazilian Jiu-Jitsu	www.northsoundbjj.com
1829	scheme-less	WA	Lakewood	Ludusport Academy & Gym	ludusport.com
1830	scheme-less	WA	Longview	The Base Longview	the-base-longview.gymdesk.com
1831	scheme-less	WA	Lynnwood	Sleeper Jiu Jitsu	sleeperjj.com
1832	scheme-less	WA	Lynnwood	Team Wise Training Center	teamwisemma.com
1833	scheme-less	WA	Maple Valley	Phantom Brazilian Jiu Jitsu	www.phantombjj.com
1835	scheme-less	WA	Monroe	Stray Dogs Club	straydogsclub.com
1836	scheme-less	WA	North Bend	GB Snoqualmie Valley	graciebarra.com/snoqualmie-wa
1837	scheme-less	WA	Olympia	BJJ Olympia (NW HIT Center)	bjjolympia.com
1838	scheme-less	WA	Olympia	Jiu-Jitsu Dynamics	www.jiujitsudynamics.com
1839	scheme-less	WA	Olympia	United Training Center	www.utcmma.com
1840	scheme-less	WA	Port Angeles	CageworX Brazilian Jiu-Jitsu/Muay Thai/Fitness	www.cageworx.com
1841	scheme-less	WA	Port Orchard	Compass Jiu Jitsu	compassjiujitsu.com
1843	scheme-less	WA	Puyallup	Gracie Barra Puyallup	graciebarra.com/puyallup-wa
1844	scheme-less	WA	Puyallup	Pinnacle Martial Arts	www.pmapuyallup.com
1845	scheme-less	WA	Renton	GB Renton	graciebarra.com/renton-wa
1846	scheme-less	WA	Renton	Heva BJJ	hevabjj.com
1847	scheme-less	WA	Renton	Ruffhouse	www.ruffhouserenton.com
1848	scheme-less	WA	Richland	Legacy Jiu-Jitsu Academy	www.legacyjiujitsu.com
1849	scheme-less	WA	Seattle	Alpha Martial Arts	www.alphamartialarts.com
1852	scheme-less	WA	Seattle	Framework BJJ Seattle	www.frameworkseattle.com
1853	scheme-less	WA	Seattle	Gracie Barra Seattle	graciebarra.com/seattle-wa
1854	scheme-less	WA	Seattle	Ivan Salaverry MMA	www.ivansalaverrymma.com
1855	scheme-less	WA	Seattle	Marcelo Alonso Brazilian Jiu-Jitsu Carlson Gracie Team	www.mabjj.com
1856	scheme-less	WA	Seattle	Mat Chess Mixed Martial Arts	matchessmma.com
1857	scheme-less	WA	Seattle	Midnight Jiu-Jitsu Club	midnightjiujitsu.club
1858	scheme-less	WA	Seattle	MKG Martial Arts, Kickboxing & Fitness	www.mkgseattle.com
1859	scheme-less	WA	Seattle	Northwest Jiu Jitsu Academy	www.nwjja.net
1861	scheme-less	WA	Seattle	Renzo Gracie Seattle	renzogracieseattle.com
1862	scheme-less	WA	Seattle	Seattle Integrated Martial Arts	www.simamartialarts.com
1863	scheme-less	WA	Seattle	Seattle Jiu-Jitsu Academy	www.seattlejiujitsuacademy.com
1864	scheme-less	WA	Sedro-Woolley	Livewire MMA	www.facebook.com/livewiremc
1865	scheme-less	WA	Silverdale	Street Sports Silverdale	www.streetsportssilverdale.com
1866	scheme-less	WA	Spokane	Newborn Cascao Jiu-Jitsu	www.newbornjiujitsuspokane.com
1867	scheme-less	WA	Spokane	Sik-Jitsu Mixed Martial Arts	excitefight.com
1868	scheme-less	WA	Spokane	Warrior Camp	www.warriorcampfitness.com
1869	scheme-less	WA	Spokane Valley	Spokane Valley Brazilian Jiu-Jitsu	www.spokanevalleybjj.com
1870	scheme-less	WA	Sumner	Grpl Club	grpl-club-jiu-jitsu-brasileiro.business.site
1871	scheme-less	WA	Tacoma	Defiance Jiu Jitsu	defiancebjj.com
